mass_A
t	y
0.0	-134.5544554455446
0.16683333333333336	-141.20877265012336
0.3336666666666667	-142.9429816395193
0.5004999999999998	-146.24261984788086
0.6673333333333333	-149.1840638886215
0.8341666666666668	-152.30687602382295
1.0010000000000001	-149.72244789404363
1.1678333333333335	-141.49773656842603
1.3346666666666664	-139.42676191329383
1.5015	-139.29698861268344
1.668333333333333	-138.51734591890659
1.8351666666666666	-138.65627121741431
2.002	-138.67758275514984
2.1688333333333336	-138.79197123779886
2.3356666666666666	-138.79675970031076
2.5025	-136.31771635196765
2.6693333333333333	-127.57501751474797
2.836166666666667	-125.75858026285368
3.0030000000000006	-124.73191029240661
3.169833333333333	-123.71712517086439
3.3366666666666664	-123.72886760235883
3.5035000000000003	-124.54154791634778
3.6703333333333332	-124.30951635397446
3.837166666666666	-124.80866698287969
4.004	-125.56815188148425
4.170833333333333	-126.34672270643
4.337666666666667	-126.33142141215558
4.5045	-117.70520992241359
4.671333333333334	-116.79256197934365
4.838166666666667	-115.82497535221842
5.005000000000001	-115.56527857488413
5.171833333333333	-115.47141832598959
5.338666666666667	-115.61571603725838
5.5055	-115.62116961214338
5.6723333333333334	-116.01331024967317
5.839166666666667	-115.96558300611127
6.006	-116.12798862393765
6.172833333333334	-114.37211331020012
6.339666666666667	-108.69443179823452
6.506500000000001	-107.80120262255855
6.673333333333334	-107.13044133471749
6.840166666666667	-107.23038133014938
7.007	-107.34352409242638
7.173833333333333	-107.52246759194236
7.340666666666667	-110.20088199288716
7.5075	-108.12128363882107
7.674333333333332	-108.71148754645651
7.841166666666668	-109.59670794486851
8.008	-110.29085610907555
8.174833333333334	-105.1558815130777
8.341666666666667	-103.86404578812903
8.5085	-103.33473729509365
8.675333333333334	-103.46951600511352
8.842166666666667	-103.57229182349079
9.009	-103.67443574687559
9.175833333333332	-104.65821233312772
9.342666666666668	-104.96464309013027
9.5095	-105.0990287774307
9.676333333333334	-105.89299383484172
9.843166666666667	-106.39144872794873
10.010000000000002	-100.52259366876774
10.176833333333335	-98.86628253933736
10.343666666666667	-98.28965838843374
10.5105	-98.35151295374794
10.677333333333333	-99.49014222241408
10.844166666666668	-99.50084528239859
11.011	-99.85707385883256
11.177833333333334	-100.05915719736595
11.344666666666667	-100.6205622798127
11.511500000000002	-101.45805489821873
11.678333333333335	-102.379294386217
11.845166666666668	-103.47402712625376
12.012	-96.49690044929548
12.178833333333333	-95.59387592365215
